feature,importance
ms_played,0.22875116249240776
session_id,0.1644821519879015
skip_streak,0.11309349015819878
prev_track_skipped,0.11182516581018768
artist_skip_rate,0.10614624753420893
year,0.1050298824131145
track_skip_rate,0.06358205358002415
days_since_artist,0.02232448025487234
session_length,0.016144301469369602
session_position,0.012115280331033946
artist_total_plays,0.008795870094320608
hour_cos,0.008371097568665067
days_since_track,0.0063044002855512675
track_popularity_pct,0.005723787267577444
track_total_plays,0.005044187542077337
month,0.004306814220852871
artist_popularity_pct,0.003630947992748465
hour_of_day,0.0022348449321995087
is_top_track,0.0020987974926572226
hour_sin,0.001829261628922188
is_work_hours,0.0015501599496225767
shuffle,0.0013655421815362751
same_artist_as_prev,0.0012670196958111124
day_sin,0.0007546802227277461
day_of_week,0.0006643012387960652
same_album_as_prev,0.000593503793948232
day_cos,0.0004767493062839644
is_late_night,0.00046023566249006755
is_repeat_1h,0.0004292364236596511
is_top_artist,0.00038452420411575795
is_weekend,0.00016698108670994935
offline,3.4599340980982984e-05
incognito_mode,1.824183642639328e-05
